Timestamp,Reading,Unit,LDC_Val
2023-12-28 18:19:03.116153,16.18,mm,-33
2023-12-28 18:19:03.259200,15.97,mm,-34
2023-12-28 18:19:03.260201,15.77,mm,-34
2023-12-28 18:19:03.417313,15.58,mm,-35
2023-12-28 18:19:03.677425,15.40,mm,-37
2023-12-28 18:19:04.081523,15.20,mm,-39
2023-12-28 18:19:04.352570,15.01,mm,-41
2023-12-28 18:19:04.588178,14.86,mm,-42
2023-12-28 18:19:04.589182,14.72,mm,-42
2023-12-28 18:19:05.175312,14.62,mm,-47
2023-12-28 18:19:05.508891,14.34,mm,-49
2023-12-28 18:19:05.709474,14.18,mm,-50
2023-12-28 18:19:05.709474,14.06,mm,-50
2023-12-28 18:19:06.060577,13.95,mm,-53
2023-12-28 18:19:06.172064,13.82,mm,-54
2023-12-28 18:19:06.534670,13.68,mm,-60
2023-12-28 18:19:06.724716,13.45,mm,-64
2023-12-28 18:19:07.057807,13.20,mm,-66
2023-12-28 18:19:07.279877,12.98,mm,-71
2023-12-28 18:19:07.452964,12.87,mm,-73
2023-12-28 18:19:07.596007,12.67,mm,-76
2023-12-28 18:19:07.787070,12.47,mm,-78
2023-12-28 18:19:08.179154,12.39,mm,-85
2023-12-28 18:19:08.417131,12.20,mm,-91
2023-12-28 18:19:08.597202,12.03,mm,-94
2023-12-28 18:19:08.939793,11.82,mm,-102
2023-12-28 18:19:09.276427,11.61,mm,-116
2023-12-28 18:19:09.476478,11.35,mm,-122
2023-12-28 18:19:09.629000,11.13,mm,-127
2023-12-28 18:19:09.980647,10.93,mm,-134
2023-12-28 18:19:10.312240,10.78,mm,-141
2023-12-28 18:19:10.470288,10.71,mm,-143
2023-12-28 18:19:10.471293,10.56,mm,-143
2023-12-28 18:19:10.803403,10.54,mm,-145
2023-12-28 18:19:11.100970,10.50,mm,-147
2023-12-28 18:19:11.397552,10.48,mm,-147
2023-12-28 18:19:11.672123,10.46,mm,-148
2023-12-28 18:19:11.767162,10.49,mm,-147
2023-12-28 18:19:12.051232,10.47,mm,-147
2023-12-28 18:19:12.476842,10.47,mm,-160
2023-12-28 18:19:12.728157,10.41,mm,-169
2023-12-28 18:19:13.092258,10.19,mm,-185
2023-12-28 18:19:13.392834,10.05,mm,-205
2023-12-28 18:19:13.678406,9.92,mm,-223
2023-12-28 18:19:13.900478,9.67,mm,-246
2023-12-28 18:19:14.277567,9.48,mm,-274
2023-12-28 18:19:14.547620,9.30,mm,-292
2023-12-28 18:19:14.672436,9.05,mm,-304
2023-12-28 18:19:14.673439,8.88,mm,-304
2023-12-28 18:19:14.673439,8.71,mm,-304
2023-12-28 18:19:15.083554,8.56,mm,-324
2023-12-28 18:19:15.253084,8.49,mm,-327
2023-12-28 18:19:15.577182,8.42,mm,-341
2023-12-28 18:19:15.687705,8.34,mm,-355
2023-12-28 18:19:15.984283,8.25,mm,-373
2023-12-28 18:19:16.318891,8.14,mm,-403
2023-12-28 18:19:16.383413,8.01,mm,-411
2023-12-28 18:19:16.858057,7.89,mm,-437
2023-12-28 18:19:17.111622,7.81,mm,-454
2023-12-28 18:19:17.127624,7.75,mm,-454
2023-12-28 18:19:17.537822,7.67,mm,-483
2023-12-28 18:19:17.806289,7.61,mm,-525
2023-12-28 18:19:17.807291,7.47,mm,-525
2023-12-28 18:19:18.469959,7.34,mm,-565
2023-12-28 18:19:18.788059,7.31,mm,-619
2023-12-28 18:19:19.173157,7.23,mm,-681
2023-12-28 18:19:19.371231,7.09,mm,-712
2023-12-28 18:19:19.371231,6.92,mm,-712
2023-12-28 18:19:19.387231,6.81,mm,-712
2023-12-28 18:19:19.750808,6.69,mm,-759
2023-12-28 18:19:19.829350,6.61,mm,-778
2023-12-28 18:19:20.226979,6.50,mm,-851
2023-12-28 18:19:20.382037,6.36,mm,-880
2023-12-28 18:19:20.761680,6.28,mm,-929
2023-12-28 18:19:20.825691,6.17,mm,-957
