Timestamp,Reading,Unit,LDC_Val_2,LDC_Val_1
2024-01-25 19:43:56.424071,9.06,mm,-257,-255
2024-01-25 19:43:56.676163,8.89,mm,-274,-271
2024-01-25 19:43:56.786734,8.71,mm,-277,-275
2024-01-25 19:43:57.089476,8.58,mm,-287,-284
2024-01-25 19:43:57.279982,8.53,mm,-294,-291
2024-01-25 19:43:57.546623,8.45,mm,-305,-301
2024-01-25 19:43:57.692319,8.36,mm,-311,-306
2024-01-25 19:43:57.992437,8.27,mm,-320,-315
2024-01-25 19:43:58.337754,8.19,mm,-327,-322
2024-01-25 19:43:58.559857,8.19,mm,-336,-331
2024-01-25 19:43:58.749036,8.13,mm,-344,-339
2024-01-25 19:43:58.971712,8.03,mm,-360,-354
2024-01-25 19:43:59.186918,7.95,mm,-365,-358
2024-01-25 19:43:59.446876,7.88,mm,-377,-371
2024-01-25 19:43:59.666962,7.83,mm,-384,-377
2024-01-25 19:44:00.287289,7.80,mm,-411,-404
2024-01-25 19:44:00.611301,7.71,mm,-421,-414
2024-01-25 19:44:00.930559,7.68,mm,-433,-425
2024-01-25 19:44:01.150435,7.64,mm,-434,-426
2024-01-25 19:44:01.418953,7.54,mm,-450,-444
2024-01-25 19:44:01.611564,7.52,mm,-463,-454
2024-01-25 19:44:01.754730,7.52,mm,-467,-457
2024-01-25 19:44:02.099750,7.41,mm,-476,-466
2024-01-25 19:44:02.353437,7.37,mm,-493,-482
2024-01-25 19:44:02.490930,7.33,mm,-496,-485
2024-01-25 19:44:02.667023,7.27,mm,-504,-493
2024-01-25 19:44:02.718194,7.23,mm,-504,-494
2024-01-25 19:44:03.163224,7.19,mm,-520,-510
2024-01-25 19:44:03.573550,7.15,mm,-543,-532
2024-01-25 19:44:03.749589,7.09,mm,-560,-549
2024-01-25 19:44:03.924238,7.06,mm,-561,-549
2024-01-25 19:44:04.208852,6.98,mm,-570,-558
2024-01-25 19:44:04.651237,6.95,mm,-596,-583
2024-01-25 19:44:04.997924,6.92,mm,-608,-595
2024-01-25 19:44:05.217301,6.86,mm,-620,-607
